CASEID,ORGANIZATION_NUMBER,PERCENT_WHITE,BUDGET,DISCIPLINE,JOBTYPE,LEVEL,EMPLOYMENTSTATUS,RACEETHNICITY,GENDER,DISABILITYSTATUS,DECADEBORN,DECADEHIRED,VOLUNTEER
1,MASKED,3,5,Theater,21,1,4,6,1,-9,1980,2010,2
2,MASKED,1,3,Dance,20,1,3,-8,3,-9,1990,2010,2
3,MASKED,3,5,Theater,1,1,1,6,1,-9,1980,2000,2
4,MASKED,2,5,Humanities,8,2,1,6,1,-9,1980,2000,2
5,MASKED,1,1,Multi-Discipline,2,-9,-9,6,2,-9,-8,2010,1
6,MASKED,1,5,Multi-Discipline,11,2,1,3,2,-9,1980,2010,2
7,MASKED,1,5,Multi-Discipline,16,1,1,4,2,-9,1990,2010,2
8,MASKED,2,4,Dance,22,1,4,3,1,-9,1990,2010,2
9,MASKED,1,1,Multi-Discipline,1,2,4,3,1,-9,1970,2000,2
10,MASKED,2,3,Museum,2,-9,-9,3,1,-9,1960,1990,1
11,MASKED,3,3,Multi-Discipline,1,1,2,6,1,-9,1980,2010,2
12,MASKED,1,3,Multi-Discipline,19,2,1,3,2,-9,1980,2000,2
13,MASKED,4,4,Theater,10,2,1,6,1,-9,1960,2010,2
14,MASKED,2,5,Museum,22,1,1,6,2,-9,1980,2010,2
15,MASKED,3,3,Music,2,3,4,6,2,-9,1950,2000,1
16,MASKED,1,1,Visual Arts,9,2,1,6,1,-9,1970,2000,2
17,MASKED,1,2,Multi-Discipline,10,2,1,3,1,-9,1960,1990,2
18,MASKED,2,5,Multi-Discipline,16,1,4,3,2,-9,1980,2010,2
19,MASKED,2,2,Music,8,1,4,2,2,-9,-8,2010,2
20,MASKED,2,5,Multi-Discipline,8,1,4,2,1,-9,1970,2010,2
21,MASKED,2,4,Visual Arts,2,3,-9,6,2,-9,1950,2010,1
22,MASKED,2,5,Botanical and Science and Zoo,16,2,-9,3,1,-9,1980,2000,2
23,MASKED,3,2,Multi-Discipline,20,1,4,3,1,-9,1950,2010,2
24,MASKED,4,2,Multi-Discipline,2,-9,-9,6,1,-9,1950,2010,1
25,MASKED,4,3,Music,2,-9,-9,6,2,-9,1950,-8,1
26,MASKED,2,1,Music,2,-9,-9,6,2,-9,1960,2000,1
27,MASKED,3,5,Theater,1,1,1,6,1,-9,1950,2000,2
28,MASKED,1,4,Multi-Discipline,1,1,2,4,1,-9,1970,2010,2
29,MASKED,4,2,Theater,2,-9,-9,6,1,-9,-8,2010,1
30,MASKED,3,5,Theater,1,2,1,2,2,-9,1960,2010,2
31,MASKED,1,5,Multi-Discipline,22,1,4,-8,1,-9,1980,2010,2
32,MASKED,2,5,Museum,8,1,4,6,1,-9,-8,-8,2
33,MASKED,2,5,Museum,7,3,1,2,1,-9,1970,2000,2
34,MASKED,2,2,Multi-Discipline,2,2,1,3,2,-9,-8,2000,1
35,MASKED,1,3,Multi-Discipline,20,3,1,6,1,-9,1950,2000,2
36,MASKED,3,3,Literature,2,3,4,6,1,-9,1950,2010,1
37,MASKED,2,5,Museum,19,1,1,6,2,1,1960,2000,2
38,MASKED,3,3,Theater,8,1,2,6,1,-9,1980,2010,2
39,MASKED,2,5,Multi-Discipline,6,2,1,6,1,-9,1980,2010,2
40,MASKED,2,5,Multi-Discipline,9,1,4,6,1,-9,1980,2010,2
41,MASKED,2,1,Dance,8,1,2,4,1,-9,1980,2010,2
42,MASKED,2,5,Museum,22,1,1,3,1,-9,-8,-8,2
43,MASKED,1,1,Dance,2,3,2,6,2,-9,1970,2000,1
44,MASKED,3,4,Theater,21,1,2,6,1,-9,-8,2010,2
45,MASKED,2,5,Museum,17,2,1,6,1,-9,-8,-8,2
46,MASKED,3,1,Dance,2,3,1,6,1,-9,1960,2000,2
47,MASKED,2,2,Visual Arts,2,-9,-9,6,2,-9,1950,-8,1
48,MASKED,3,5,Theater,1,1,2,6,2,-9,1950,2000,2
49,MASKED,3,5,Visual Arts,18,1,1,6,1,-9,1970,2000,2
50,MASKED,2,2,Dance,1,2,2,3,2,-9,1980,2000,2
51,MASKED,3,5,Theater,8,1,4,4,2,-9,1980,2010,2
52,MASKED,3,5,Music,1,2,1,2,2,-9,1970,1990,2
53,MASKED,3,5,Music,16,1,1,2,1,-9,1970,2010,2
54,MASKED,2,3,Music,1,1,2,3,2,-9,1980,2010,2
55,MASKED,4,3,Theater,12,3,1,6,1,-9,1950,1980,2
56,MASKED,2,3,Multi-Discipline,16,2,1,6,1,-9,1960,2000,2
57,MASKED,2,5,Museum,22,2,1,6,1,-9,-8,-8,2
58,MASKED,2,5,Multi-Discipline,5,2,1,2,1,-9,1970,2000,2
59,MASKED,4,3,Theater,21,-9,-9,6,1,-9,1980,2010,2
60,MASKED,3,4,Music,2,3,4,6,2,-9,1950,2000,1
61,MASKED,2,5,Museum,8,1,4,6,1,-9,-8,-8,2
62,MASKED,2,5,Music,8,2,1,6,2,1,1950,1990,2
63,MASKED,3,5,Music,2,-9,-9,3,1,-9,1950,1980,1
64,MASKED,4,1,Theater,2,3,1,6,1,-9,1970,2000,2
65,MASKED,2,2,Music,22,1,4,6,1,-9,1980,2000,1
66,MASKED,2,2,Dance,1,-9,4,3,2,-9,1990,2010,2
67,MASKED,3,5,Multi-Discipline,9,3,1,6,2,-9,1950,1990,2
68,MASKED,3,5,Film/Visual/Audio,12,3,1,6,2,-9,1960,2000,2
69,MASKED,2,3,Theater,1,1,2,2,1,-9,1980,2010,2
70,MASKED,3,5,Theater,1,2,1,3,2,-9,1990,2010,2
71,MASKED,3,2,Multi-Discipline,8,1,4,3,1,-9,1980,2010,2
