Year,arrested/imprisoned/convicted,banned from premesis,demoted/reprimanded/suspended,fired,lawsuit settled/monetary punishment,death,no action/ongoing,resigned/retired
1978,1,,,,,1,,
1979,,,1,1,,,,
1980,,,1,1,,,1,
1981,,,1,2,,,,
1982,,,1,1,,,1,1
1983,,,1,,,,1,1
1984,,,,1,,,,2
1985,,,,,,,,1
1986,,,,,,,1,3
1987,,,1,,,,,3
1988,,,0,,0,,,0
1989,,,2,,1,,,1
1990,,,1,5,,,,2
1991,,,2,2,3,1,2,4
1992,1,,3,,,,2,5
1993,2,,1,4,,,2,5
1994,,1,,5,1,,3,4
1995,,,1,4,4,,5,8
1996,1,,4,2,2,,1,3
1997,1,,4,3,2,1,2,6
1998,1,,1,1,,,,2
1999,1,,1,3,2,,2,2
2000,,,3,2,,,1,2
2001,,,2,,3,,2,3
2002,,,1,1,2,,2,4
2003,1,,1,1,,,1,1
2004,,1,1,3,2,,3,3
2005,2,,1,1,1,,1,4
2006,1,,1,2,1,1,2,5
2007,1,1,2,5,3,,1,8
2008,1,,1,6,2,2,1,9
2009,4,,2,3,,2,,5
2010,2,,3,4,2,,1,2
2011,1,,3,3,6,1,1,13
2012,1,,1,1,2,1,1,8
2013,1,,5,10,2,1,,12
2014,4,1,10,8,2,,4,15
2015,5,,5,11,6,2,4,14
2016,13,3,12,8,1,1,2,16
2017,3,,18,24,4,1,16,36
2018,4,3,13,27,4,2,18,52
,,,,,,,,
